# M0 source-use ratchet at triad-architecture 2767153bfab6.
# marker	workspace-relative file	maximum occurrences
AuthServices	crates/bloom-daemon/src/ceremony_server.rs	6
AuthServices	crates/bloom-daemon/src/lib.rs	1
AuthServices	crates/bloom-daemon/src/sealed_ceremony.rs	2
AuthServices	crates/bloom-daemon/src/sign_hash.rs	4
AuthServices	crates/bloom-vfs/src/auth.rs	2
AuthServices	crates/bloom-vfs/src/lib.rs	1
ApprovalVerifier	crates/bloom-daemon/src/ceremony_server.rs	4
ApprovalVerifier	crates/bloom-daemon/src/lib.rs	2
ApprovalVerifier	crates/bloom-daemon/src/registration.rs	2
ApprovalVerifier	crates/bloom-vfs/src/auth.rs	6
AuthStore	crates/bloom-daemon/src/ceremony_server.rs	8
AuthStore	crates/bloom-daemon/src/lib.rs	2
AuthStore	crates/bloom-daemon/src/registration.rs	2
AuthStore	crates/bloom-vfs/src/auth.rs	12
AuthStoreWriter	crates/bloom-daemon/src/ceremony_server.rs	2
AuthStoreWriter	crates/bloom-vfs/src/auth.rs	6
GrantStore	crates/bloom-daemon/src/ceremony_server.rs	1
GrantStore	crates/bloom-daemon/src/lib.rs	2
GrantStore	crates/bloom-daemon/src/sign_hash.rs	7
GrantStore	crates/bloom-vfs/src/auth.rs	6
InMemoryGrantStore	crates/bloom-daemon/src/lib.rs	1
InMemoryGrantStore	crates/bloom-daemon/src/sign_hash.rs	5
KeystoreApprovalSignatureVerifier	crates/bloom-daemon/src/lib.rs	2
KeystorePetalHost	crates/bloom-daemon/src/lib.rs	1
KeystorePetalHost	crates/bloom-daemon/src/sealed_ceremony.rs	1
KeystorePetalHost	crates/bloom-daemon/src/sign_hash.rs	7
PetalHost::sign_hash	crates/bloom-daemon/src/sign_hash.rs	4
PetalHost::sign_hash	crates/bloom-vfs/src/auth.rs	1
PetalHost::sign_hash	crates/bloom-paid-http/src/lib.rs	1
PrivateKeySigner	crates/bloom-daemon/src/lib.rs	5
PrivateKeySigner	crates/bloom-daemon/src/registration.rs	4
PrivateKeySigner	crates/bloom-daemon/src/sealed_ceremony.rs	3
PrivateKeySigner	crates/bloom-tx/src/tx_engine.rs	7
PrivateKeySigner	crates/bloom-hyperliquid/src/lib.rs	5
PrivateKeySigner	crates/bloom-mempool/tests/it_flashbots_sepolia_send.rs	1
PrivateKeySigner	crates/bloom-paid-http/src/lib.rs	1
PrivateKeySigner	crates/bloom-paid-x402/src/lib.rs	1
SignerCache	crates/bloom-daemon/src/lib.rs	1
SignerCache	crates/bloom-daemon/src/sealed_ceremony.rs	8
RegistrationCoordinator	crates/bloom-daemon/src/ceremony_server.rs	1
RegistrationCoordinator	crates/bloom-daemon/src/ceremony_server/wallet_registration.rs	3
RegistrationCoordinator	crates/bloom-daemon/src/lib.rs	2
RegistrationCoordinator	crates/bloom-daemon/src/registration.rs	12
RegistrationCoordinator	crates/bloom-vfs/src/auth.rs	5
StoreApprovalVerifier	crates/bloom-daemon/src/ceremony_server.rs	2
StoreApprovalVerifier	crates/bloom-daemon/src/lib.rs	2
StoreApprovalVerifier	crates/bloom-daemon/src/registration.rs	2
bloom_auth	crates/bloom-daemon/src/ceremony_server.rs	6
bloom_auth	crates/bloom-daemon/src/ceremony_server/wallet_registration.rs	2
bloom_auth	crates/bloom-daemon/src/lib.rs	13
bloom_auth	crates/bloom-daemon/src/price_oracle.rs	1
bloom_auth	crates/bloom-daemon/src/registration.rs	3
bloom_auth	crates/bloom-daemon/src/sealed_ceremony.rs	1
bloom_auth	crates/bloom-daemon/src/sign_hash.rs	11
bloom_auth	crates/bloom-tx/src/oracle.rs	1
bloom_auth	crates/bloom-tx/src/outbox.rs	3
bloom_auth	crates/bloom-tx/src/tx_engine.rs	8
bloom_auth	crates/bloom-vfs/src/auth.rs	1
bloom_auth	crates/bloom-vfs/src/handlers/outbox.rs	2
bloom_auth	crates/bloom-vfs/src/handlers/status.rs	2
bloom_auth	crates/bloom-vfs/src/handlers/wallets.rs	1
bloom_auth	crates/bloom-proto/src/audit_ext.rs	1
bloom_auth	crates/bloom-proto/src/plan.rs	2
bloom_auth	crates/bloom-proto/src/policy.rs	1
bloom_keystore	crates/bloom-daemon/src/ceremony_server.rs	1
bloom_keystore	crates/bloom-daemon/src/lib.rs	4
bloom_keystore	crates/bloom-daemon/src/registration.rs	1
bloom_keystore	crates/bloom-daemon/src/sealed_ceremony.rs	2
bloom_keystore	crates/bloom-daemon/src/sign_hash.rs	3
bloom_keystore	crates/bloom-vfs/src/handlers/requests.rs	1
bloom_keystore	crates/bloom-vfs/src/handlers/status.rs	1
bloom_keystore	crates/bloom-vfs/src/handlers/wallets.rs	7
bloom_keystore	crates/bloom-vfs/tests/triad_policy_update.rs	1
bloom_keystore	crates/bloom/src/main.rs	2
bloom_keystore	crates/bloom/tests/cli.rs	1
bloom_keystore	crates/bloom-mempool/tests/it_flashbots_sepolia_send.rs	1
ceremony_server	crates/bloom-daemon/src/ceremony_server/wallet_registration.rs	1
ceremony_server	crates/bloom-daemon/src/lib.rs	1
ceremony_server	crates/bloom/src/main.rs	5
local-integration	crates/bloom-daemon/Cargo.toml	2
local-integration	crates/bloom-daemon/src/ceremony_server.rs	2
local-integration	crates/bloom-daemon/src/lib.rs	41
local-integration	crates/bloom-vfs/Cargo.toml	1
local-integration	crates/bloom/Cargo.toml	2
local-integration	crates/bloom/src/main.rs	11
local-integration	crates/bloom/tests/cli.rs	4
policy-session	crates/bloom-vfs/src/handlers/wallets.rs	2
policy-session	crates/bloom-vfs/src/handlers/docs.rs	1
policy-session	crates/bloom-proto/src/capability.rs	3
policy-session	crates/bloom-proto/src/ceremony.rs	1
policy-session	crates/bloom-daemon/tests/m2_no_legacy_authority_store.rs	4
sign_hash_sync	crates/bloom-daemon/src/lib.rs	2
sign_hash_sync	crates/bloom-daemon/src/sign_hash.rs	1
sign_hash_sync	crates/bloom-tx/src/tx_engine.rs	3
unsafe-debug-signer	crates/bloom-daemon/Cargo.toml	4
unsafe-debug-signer	crates/bloom-daemon/src/lib.rs	11
unsafe-debug-signer	crates/bloom-tx/Cargo.toml	1
unsafe-debug-signer	crates/bloom-tx/src/tx_engine.rs	8
unsafe-debug-signer	crates/bloom-vfs/Cargo.toml	2
unsafe-debug-signer	crates/bloom/Cargo.toml	2
unsafe-debug-signer	crates/bloom/src/main.rs	2
